,0,1,2,3,4,5,6,7,8,9
568,0,1,2,2,2,1,1,1,2,1
571,0,2,0,0,0,0,0,0,2,1
578,2,1,0,1,1,0,1,2,0,1
579,0,1,2,1,2,0,1,1,2,1
580,2,1,0,2,1,1,1,0,0,0
581,2,1,0,2,1,0,1,0,0,0
582,2,1,0,0,1,1,1,0,0,0
583,0,1,0,0,0,0,1,0,0,0
584,2,1,0,0,1,0,1,0,0,1
585,2,1,0,0,1,0,1,0,0,1
591,1,1,2,2,0,1,1,1,1,1
597,1,1,2,2,0,1,1,1,1,1
598,1,1,2,2,0,1,1,1,1,1
599,2,1,0,2,1,1,1,2,2,1
600,2,1,0,2,1,1,1,2,1,1
601,2,1,0,2,1,1,1,0,1,1
602,2,1,0,2,1,1,1,0,1,1
603,1,1,1,0,0,0,1,2,2,1
604,1,1,1,0,0,0,1,2,2,1
605,1,1,1,1,2,0,1,2,2,1
606,1,1,1,1,2,0,1,2,2,1
618,1,1,0,0,0,0,1,0,0,0
622,2,1,0,1,0,0,1,0,0,0
623,1,1,1,1,0,0,1,0,0,0
627,0,1,0,2,2,1,1,0,0,0
630,1,1,1,2,0,1,1,0,2,1
631,0,1,0,2,0,1,1,0,2,1
632,2,1,0,2,1,1,1,0,0,0
633,1,1,1,1,0,0,1,0,1,0
634,1,1,1,0,2,0,1,0,2,1
635,1,1,0,2,0,1,1,2,2,1
636,2,1,0,2,1,0,1,0,0,0
637,2,1,1,1,1,0,1,0,2,1
638,1,1,1,2,0,1,1,0,2,0
639,2,1,0,2,1,1,1,2,2,1
640,1,1,0,2,2,1,1,0,0,1
641,1,1,1,2,2,1,1,2,0,0
642,1,1,0,1,0,0,1,2,0,1
643,1,1,1,1,0,0,1,2,0,1
644,2,1,0,0,1,0,1,0,2,0
645,2,0,1,1,1,0,2,2,2,1
659,1,1,1,0,0,0,1,2,1,1
661,0,1,1,1,0,0,1,2,1,1
662,0,1,1,1,0,0,1,2,1,1
663,0,1,1,2,0,1,1,0,0,0
664,2,1,0,2,0,1,1,0,0,0
665,1,1,1,1,0,0,1,2,0,1
666,1,1,1,1,0,0,1,2,0,1
667,1,1,1,1,0,0,1,2,0,1
668,1,1,1,1,0,0,1,2,0,1
669,1,1,1,0,2,0,1,0,0,1
670,1,1,1,1,2,0,1,0,0,1
671,0,1,1,2,2,1,1,0,0,1
672,0,1,0,1,2,0,1,0,0,1
673,0,1,1,1,0,0,1,2,1,1
674,2,1,0,0,1,0,1,0,0,0
686,1,1,0,1,0,0,1,0,1,1
687,1,1,1,1,0,0,1,0,1,1
688,1,1,1,1,1,0,1,0,1,1
689,1,1,1,1,0,0,1,0,1,1
690,0,1,0,0,0,0,0,0,2,2
691,0,0,0,0,0,0,0,0,2,2
692,0,0,0,0,0,0,1,0,2,2
693,0,0,0,0,0,0,0,0,2,2
694,0,1,0,0,0,0,0,2,2,2
695,0,0,0,0,0,0,0,2,2,2
696,0,0,0,0,0,0,0,2,2,2
697,0,0,0,0,0,0,0,2,2,2
699,2,1,2,0,1,0,1,1,0,1
711,2,1,2,0,1,0,1,1,0,0
712,2,1,0,0,1,0,1,0,0,0
715,2,0,2,0,1,0,2,1,0,1
716,2,0,2,0,1,0,2,1,0,1
717,2,1,2,0,1,0,2,1,0,1
718,2,0,2,0,1,0,2,1,0,1
719,2,0,2,0,1,0,2,1,0,1
720,2,0,2,0,1,0,2,1,0,1
721,2,0,2,0,1,0,2,1,0,1
722,2,0,2,0,1,0,2,1,0,1
723,0,1,0,0,2,0,1,0,0,1
724,0,1,0,0,2,0,1,0,0,1
725,0,1,0,0,2,0,1,0,0,1
726,0,1,0,0,2,0,1,0,0,1
738,1,1,0,1,0,0,1,0,0,0
739,1,1,1,1,1,0,1,0,0,1
742,2,1,1,1,1,0,1,0,0,0
743,2,1,0,0,1,0,1,0,0,0
744,1,1,1,1,1,0,1,0,0,1
745,2,1,0,2,0,1,1,0,0,0
746,2,1,0,0,1,0,1,0,0,0
747,2,1,0,0,1,0,1,0,0,0
748,2,1,0,0,1,0,1,0,0,0
749,1,1,0,1,1,0,1,0,0,1
750,2,1,1,1,1,0,1,0,0,0
751,2,1,0,0,1,0,1,0,0,0
752,1,1,1,1,0,0,1,0,0,1
753,1,1,1,1,0,0,1,0,1,1
771,1,1,1,2,1,1,1,1,1,1
777,1,1,1,2,1,1,1,0,2,1
778,1,1,0,2,1,1,1,2,0,0
779,1,1,0,0,0,0,0,0,0,0
780,1,1,0,0,1,0,0,0,0,0
782,1,1,1,0,1,1,1,2,2,1
786,1,1,1,1,0,1,1,2,2,1
789,1,1,1,1,1,1,1,2,1,1
791,1,1,1,1,1,1,1,1,1,1
792,1,1,1,1,1,1,1,1,1,1
793,1,1,1,2,1,1,1,1,2,1
794,1,1,1,2,1,1,1,1,2,1
799,1,1,1,0,1,1,1,2,2,1
800,1,1,1,0,1,1,1,2,2,1
801,1,1,1,0,1,1,1,2,2,1
802,1,1,1,0,1,1,1,2,2,1
803,1,1,1,0,1,1,1,2,2,1
804,1,1,0,0,1,1,1,2,2,1
805,1,1,1,1,0,1,1,2,2,1
806,1,1,1,1,0,1,1,2,0,1
807,1,1,1,0,1,1,1,2,2,1
808,1,1,1,0,1,1,1,2,2,1
809,1,1,1,0,1,1,1,1,2,1
810,1,1,1,0,1,1,1,1,2,1
811,1,1,1,1,1,1,1,2,1,1
812,1,1,1,1,1,1,1,2,1,1
813,0,1,1,1,2,1,1,0,0,1
814,0,1,1,1,2,1,1,0,0,1
815,1,1,1,1,1,1,1,1,0,1
816,1,1,1,0,1,1,1,0,2,1
817,1,1,1,0,2,1,2,0,2,1
818,1,1,1,0,2,1,2,0,2,1
819,2,2,2,2,2,1,0,0,2,1
820,2,2,2,2,1,1,0,0,0,0
829,1,1,1,2,0,0,1,0,0,1
830,0,1,1,2,0,1,1,2,2,1
831,2,1,1,2,1,1,2,2,2,1
832,2,1,1,1,0,1,2,2,2,1
833,2,1,1,1,0,1,1,2,2,1
834,2,1,1,1,2,1,2,2,2,1
835,2,2,1,1,2,1,2,2,2,1
836,2,1,1,1,2,1,1,2,2,1
837,2,1,1,1,2,1,1,2,2,1
841,1,1,1,1,2,1,1,2,2,1
853,0,1,1,1,0,1,1,2,2,1
854,0,1,1,0,0,1,1,2,2,1
859,2,1,1,1,2,1,1,1,1,1
860,1,1,1,1,2,1,1,1,0,1
863,0,1,1,2,1,1,0,2,1,1
864,0,1,1,2,1,1,0,2,1,1
865,0,1,1,0,1,1,1,2,1,1
866,0,1,1,0,1,1,1,2,1,1
869,0,0,0,0,1,1,1,1,1,1
871,0,0,0,0,2,1,1,1,2,1
872,0,0,0,0,2,1,1,1,2,1
873,0,0,0,0,1,1,1,1,2,1
874,0,1,0,0,1,1,1,1,2,1
875,1,1,1,2,2,1,1,2,0,0
876,1,1,1,2,2,1,1,2,2,1
879,0,0,0,0,1,1,1,1,1,1
880,0,0,0,0,1,1,1,1,1,1
881,0,0,0,0,1,1,1,1,1,1
882,0,0,0,0,1,1,1,1,1,1
883,0,0,0,0,1,1,1,1,2,1
884,0,0,0,0,1,1,1,1,2,1
885,0,1,1,2,1,1,1,2,2,1
886,0,1,1,2,1,1,0,2,2,1
887,2,1,1,2,1,1,1,2,2,1
888,2,1,1,2,1,1,1,2,0,1
896,2,1,1,1,1,1,1,1,0,1
900,2,0,2,2,1,1,1,2,2,1
901,2,0,0,2,1,1,1,2,2,1
902,0,1,1,0,1,1,1,2,2,1
903,0,1,2,0,1,1,1,2,2,1
904,1,1,1,2,2,1,1,1,0,1
905,0,1,1,1,2,1,1,1,0,1
906,0,1,1,1,2,1,1,2,2,1
907,0,1,1,1,2,1,1,2,2,1
908,0,0,0,0,1,0,0,0,2,1
909,0,0,0,0,1,0,0,0,2,1
917,0,1,1,2,2,1,0,2,0,1
920,0,1,1,2,2,1,1,2,0,1
921,1,0,0,0,1,1,1,2,2,1
925,0,1,1,2,2,1,1,2,0,1
926,0,1,1,2,2,1,1,2,0,1
927,0,1,0,2,2,1,1,2,2,1
928,0,1,1,2,2,1,1,2,0,1
929,1,0,0,0,1,1,1,2,2,1
930,1,0,0,0,1,1,1,2,2,1
931,1,1,1,2,1,1,1,2,2,1
932,1,1,1,2,1,1,1,2,2,1
933,1,1,1,2,1,1,1,2,2,1
934,1,1,1,2,1,1,1,2,2,1
939,1,1,1,1,0,0,1,2,0,1
944,1,1,1,0,2,0,1,2,0,1
945,1,1,1,0,2,0,1,2,0,1
946,1,1,1,0,0,0,1,2,0,1
947,2,1,0,0,1,0,1,0,0,1
948,1,1,1,0,0,0,2,2,1,1
949,1,1,1,0,0,0,1,2,1,1
950,1,1,1,0,0,0,1,2,1,1
951,2,1,0,2,1,0,1,0,0,0
959,1,1,1,1,0,0,1,0,1,1
968,1,1,1,1,0,0,1,0,1,1
971,1,1,1,1,0,0,1,0,1,1
973,1,1,1,2,0,1,1,0,1,1
974,1,1,1,1,1,0,1,0,1,1
975,1,1,1,1,0,0,1,0,1,1
976,1,1,1,1,0,0,1,0,1,1
977,1,1,1,1,0,0,1,0,1,1
978,1,1,1,1,1,0,1,0,1,1
979,2,1,0,1,1,0,1,0,0,1
980,1,1,1,1,0,0,1,0,1,1
981,1,1,1,1,0,0,1,0,1,1
982,1,1,1,1,0,0,1,0,1,1
983,1,1,1,1,1,0,1,0,1,1
984,1,1,1,1,0,1,1,0,1,1
985,1,1,1,1,1,0,1,0,1,1
986,1,1,1,1,0,0,1,0,1,1
987,1,1,1,1,0,0,1,0,1,1
988,1,1,1,1,0,0,1,0,1,1
996,2,1,0,0,1,0,1,0,0,0
997,0,1,0,0,0,0,1,0,0,0
998,2,1,0,2,1,1,1,0,0,0
999,2,1,0,0,1,0,1,0,2,0
1000,2,1,1,2,1,1,1,2,0,1
1001,1,1,1,2,0,1,1,2,0,1
1002,2,1,2,2,1,1,1,2,2,1
1003,2,1,1,2,1,1,1,2,2,1
1011,1,1,1,2,2,1,1,0,0,1
1012,1,1,1,2,2,1,1,0,0,1
1013,0,1,2,2,2,1,1,1,0,1
1014,0,1,2,2,2,1,1,1,0,1
1017,2,1,0,0,1,0,1,0,0,0
1018,2,1,0,0,1,0,1,0,0,0
1019,2,1,0,0,1,0,1,0,0,0
1020,2,1,0,0,1,0,1,0,0,0
1021,2,1,0,0,1,0,1,0,0,0
1022,2,1,0,0,1,0,1,0,0,0
1026,2,0,0,0,1,0,0,0,0,0
1032,0,1,0,2,2,1,2,1,0,1
1037,2,2,0,2,1,1,2,2,2,1
1038,0,1,2,2,2,1,1,2,2,1
1039,2,1,2,2,1,1,1,2,2,1
1041,2,2,1,2,1,1,1,2,2,1
1042,0,1,2,2,0,1,1,2,2,1
1043,0,1,1,2,0,1,1,2,2,1
1044,0,1,1,0,0,0,1,2,0,1
1045,0,1,1,0,0,0,1,2,0,1
1046,2,2,0,2,1,1,2,2,2,1
1047,2,2,0,2,1,1,2,2,2,1
1048,2,1,1,2,1,1,1,2,2,1
1049,2,1,0,2,1,1,1,2,0,0
1061,1,2,2,2,0,1,0,1,0,2
1062,1,2,0,2,0,1,0,0,0,2
1063,0,1,1,2,0,1,1,2,0,0
1064,2,1,1,2,1,1,1,2,2,1
1065,0,2,2,2,0,1,0,1,0,0
1066,0,1,2,2,0,1,1,1,0,0
1067,0,1,1,2,2,1,1,2,0,0
1068,0,1,1,2,0,1,1,2,0,0
1069,2,1,0,1,1,0,1,0,0,1
1070,2,1,1,1,1,0,1,0,1,1
1071,1,1,1,1,1,0,1,0,1,1
1072,1,1,1,1,2,0,1,0,0,1
1082,2,1,0,0,1,0,1,0,0,0
1086,2,1,0,0,1,0,1,0,0,0
1087,0,1,0,0,0,0,1,0,0,0
1088,0,0,0,0,0,0,0,0,2,1
1089,0,0,0,0,0,0,0,0,2,1
1090,0,0,0,0,0,0,0,0,2,1
1091,0,0,0,0,0,0,0,0,2,1
1092,2,1,0,0,1,0,1,0,0,1
1093,2,1,0,0,0,0,1,0,0,1
1094,2,1,0,0,1,0,1,0,0,0
1095,2,1,0,0,1,0,1,0,0,0
1096,0,1,0,0,0,0,1,0,0,0
1097,2,1,0,0,1,0,1,0,0,0
1129,2,1,1,0,1,0,1,0,2,1
1130,2,1,1,0,1,0,1,0,2,1
1131,2,1,1,0,1,0,1,0,2,1
1132,2,1,1,0,1,0,1,0,2,1
1133,2,1,0,0,1,0,1,2,2,1
1134,2,1,0,0,1,0,1,2,2,1
1135,2,1,0,0,1,0,1,2,2,1
1136,2,1,0,0,1,0,1,2,2,1
1137,0,1,1,2,0,1,1,0,1,2
1138,0,1,1,2,0,1,1,0,1,2
1139,0,1,1,2,0,1,1,0,1,2
1140,0,1,1,2,0,1,1,0,1,2
1141,0,1,1,2,0,1,1,0,1,2
1142,0,1,1,2,0,1,1,0,1,2
1143,0,1,1,2,0,1,1,0,1,2
1144,0,1,1,2,0,1,1,0,1,2
1145,2,1,2,1,1,0,1,1,0,0
1146,2,1,1,1,1,0,1,2,0,1
1147,0,1,1,1,0,0,1,2,2,1
1148,0,1,1,1,0,0,1,2,2,1
1149,0,1,2,2,2,1,1,1,2,1
1150,0,1,2,2,2,1,1,1,2,1
1151,2,2,1,2,1,1,2,2,2,1
1152,2,2,1,2,1,1,2,2,2,1
1153,2,1,0,0,1,0,1,0,0,0
1154,2,1,1,2,1,1,1,2,1,1
1155,2,1,1,2,1,1,1,2,1,1
1156,2,1,1,2,1,1,1,2,1,1
1157,0,1,2,2,2,1,1,2,2,1
1158,0,1,2,2,2,1,1,1,1,1
1159,1,1,2,1,1,0,1,1,1,1
1160,1,1,2,1,0,0,1,1,1,1
1167,2,1,0,0,1,0,1,0,0,0
1168,2,1,1,1,1,0,1,2,2,1
1169,1,1,1,2,2,1,1,0,0,0
1171,2,1,0,0,1,0,1,0,0,0
1174,0,1,1,0,1,0,1,0,0,1
1175,1,1,1,0,0,0,1,0,2,1
1178,2,1,1,2,1,1,1,2,2,1
1180,1,1,1,1,0,0,1,2,0,1
1181,1,1,1,1,0,0,1,2,2,1
1182,1,1,1,1,0,0,1,2,2,1
1183,1,1,1,1,0,0,1,2,2,1
1184,1,1,1,1,0,0,1,2,2,1
1185,1,1,1,1,0,0,1,2,0,1
1189,0,1,2,0,1,1,1,1,0,0
1193,1,1,2,0,1,1,1,1,0,0
1194,1,1,2,0,1,1,1,1,0,1
1197,2,1,0,2,0,1,1,2,2,1
1199,1,1,0,1,0,0,1,2,0,1
1200,1,1,1,1,0,0,1,2,0,1
1201,0,1,1,1,0,1,1,1,0,1
1202,0,1,1,1,0,1,1,0,0,1
1203,2,1,0,2,0,1,1,2,2,1
1204,2,1,0,2,0,1,1,2,2,1
1212,1,1,1,2,0,0,1,0,1,1
1213,1,1,1,2,1,1,1,2,1,1
1214,0,1,1,2,1,1,1,2,1,1
1215,1,1,1,2,1,1,1,2,1,1
